ticker_event,earnings_date,window_start,window_end,event_id,timestamp,open,high,low,close,volume,momentum,volatility,avg_volume_event,pre_close,window_return,split
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 18:00:00+00:00,275.85,277.05,275.01,275.6199,2370046.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 19:00:00+00:00,275.62,277.74,273.38,274.03,7021214.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 20:00:00+00:00,274.03,274.03,272.82,273.0,9310561.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 21:00:00+00:00,273.28,273.5999,273.05,273.05,31289.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 08:00:00+00:00,271.4,272.99,271.4,271.5,24031.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 09:00:00+00:00,271.91,272.14,271.3,272.0,16134.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 10:00:00+00:00,271.91,272.0,271.4,271.62,8088.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 11:00:00+00:00,271.78,271.8,270.75,271.56,67643.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 12:00:00+00:00,271.7,273.43,270.0,273.31,262831.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 13:00:00+00:00,273.4,275.18,270.77,272.59,5811663.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 14:00:00+00:00,272.5837,278.02,272.47,275.5702,5405772.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 15:00:00+00:00,275.58,276.05,272.82,274.015,3587763.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 16:00:00+00:00,273.98,277.15,273.56,275.8,2886722.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 17:00:00+00:00,275.83,278.14,275.02,275.98,2599383.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 18:00:00+00:00,275.96,279.4181,275.36,278.21,3450312.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 19:00:00+00:00,278.14,281.11,276.571,280.76,6315008.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 20:00:00+00:00,280.72,281.25,280.4507,280.73,9302011.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 21:00:00+00:00,280.6999,280.9999,280.5,280.94,57344.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 22:00:00+00:00,280.8,280.95,280.17,280.9,45780.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-25 23:00:00+00:00,280.8,280.98,280.35,280.7299,16423.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 08:00:00+00:00,280.45,280.7,279.07,280.06,10754.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 09:00:00+00:00,280.7,280.84,280.3,280.7,7237.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 10:00:00+00:00,280.21,280.21,279.58,279.8,6167.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 11:00:00+00:00,280.0,280.25,279.4,279.84,24392.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 12:00:00+00:00,279.8,282.53,278.86,279.15,108225.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 13:00:00+00:00,279.2,279.2,275.0,275.2,4897838.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 14:00:00+00:00,275.18,276.48,273.0501,273.065,4947905.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 15:00:00+00:00,273.05,273.46,272.0,272.24,3966463.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 16:00:00+00:00,272.27,275.24,272.27,274.755,3585604.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 17:00:00+00:00,274.75,274.77,272.55,273.08,3078116.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 18:00:00+00:00,273.06,274.03,272.37,273.85,3934461.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 19:00:00+00:00,273.85,274.54,270.0,270.22,9432168.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 20:00:00+00:00,270.22,276.423,259.5,268.0,12984947.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 21:00:00+00:00,268.0,277.0,265.0,276.94,1215171.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 22:00:00+00:00,276.97,289.0,276.5,282.3,1958633.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-26 23:00:00+00:00,282.28,283.5,281.25,282.3,332340.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 08:00:00+00:00,284.67,285.54,283.0,284.77,104866.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 09:00:00+00:00,284.35,285.29,283.98,284.85,33365.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 10:00:00+00:00,284.83,285.05,283.51,284.73,49519.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 11:00:00+00:00,284.7,284.9,279.05,279.73,405649.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 12:00:00+00:00,282.5812,285.0,278.57,281.4,580681.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 13:00:00+00:00,281.5,286.49,279.6,285.04,12060820.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-27 14:00:00+00:00,285.09,287.2,279.16,285.62,12610508.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
